"","PID","SCH_CODE","QU_AGREE1","QU_AGREE2","SEX","Q1A1","Q1A2","Q1A3","Q1A4","Q1A5","Q1A6","Q1A7","Q1A8","Q1A9","Q1A10","Q1A11","Q1A12","Q1A13","Q2A1","Q2A2","Q2A3","Q2A4","Q2A5","Q2A6","Q2A7","Q2A8","Q2A9","Q3A1","Q3A2","Q3A3","Q3A4","Q3A5","Q3A6","Q3A7","Q3A8","Q3A9","Q3A10","Q3A11","Q3A12","Q3A13","Q3A14","Q3A15","Q4A1","Q4A2","Q4A3","Q4A4","Q4A5","Q4A6","Q4A7","Q4A8","Q4A9","Q4A10","Q4A11","Q4A12","Q4A13","Q4A14","Q4A15","Q5","Q5_OTHERS","Q6","Q6_OTHERS","Q7A1","Q7A2","Q7A3","Q7A4","Q7A5","Q7A6","Q7A7","Q8A1","Q8A2","Q8A3","Q8A4","Q8A5","Q8A6","Q8A7","Q8A8","Q8A9","Q8A10","Q9A1","Q9A2","Q9A3","Q9A4","Q9A5","Q9A6","Q9A7","Q9A8","BQ1A1","BQ1A1_N","BQ1A2","BQ1A2_N","BQ1A3","BQ1A3_N","BQ1A4","BQ1A4_N","BQ1A5","BQ1A5_N","BQ1A6","BQ1A6_N","BQ1A7","BQ1A7_N","BQ1A8","BQ1A8_N","BQ1A9","BQ1A9_N","BQ1A10","BQ1A10_N","BQ1A11","BQ1A11_N","BQ1A11_OTHERS","BQ2","BQ2_1","BQ3A1","BQ3A2","BQ4","BQ5A1","BQ5A2","BQ5A3","DM1","DM2","DM3","DM4","DM5","DM6","obsn","wgt_a","wgt_b"
"4592",301120,3011,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,4,4,4,4,3,4,4,3,3,3,3,2,2,3,3,4,4,4,3,3,4,4,4,3,3,3,5,"모름                                                                                                                                                  ",8,"없음                                                                                                                                                  ",4,4,4,4,4,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,2,0,1,1,1,1,2,0,2,0,2,0,1,1,2,0,2,0,2,0,"                                                                                                    ",2,9,1,1,10,1,1,1,2,1,1,1,1,1,4592,599.385677826152,0.872396733222699
"4593",301121,3011,1,1,2,3,3,4,3,2,3,2,2,2,1,1,1,1,3,3,4,4,4,3,4,2,2,3,3,3,4,3,3,3,3,3,2,3,3,3,3,4,4,4,4,4,4,4,4,4,5,4,3,4,9,3,4,1,"                                                                                                                                                      ",4,"                                                                                                                                                      ",4,4,4,4,4,5,4,4,2,4,2,2,4,4,3,3,2,1,1,1,1,1,1,1,1,2,0,2,0,1,1,1,1,2,0,2,0,1,1,2,0,2,0,2,0,2,0,"                                                                                                    ",2,9,1,1,6,1,1,1,2,1,1,1,1,1,4593,599.385677826152,0.872396733222699
"4594",301122,3011,1,1,2,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,3,1,5,4,4,4,1,1,1,1,1,5,1,1,1,1,1,1,1,1,5,1,1,1,1,1,4,1,1,1,1,1,1,1,1,4,5,"없음                                                                                                                                                  ",8,"없음                                                                                                                                                  ",1,5,4,2,3,3,3,2,1,1,4,4,1,1,1,1,1,3,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,2,0,2,0,2,0,2,0,1,3,1,2,1,1,"쌍둥이 동생                                                                                         ",2,9,1,1,6,1,1,1,2,1,1,1,1,1,4594,599.385677826152,0.872396733222699
"4595",301123,3011,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1,2,2,2,1,2,2,2,2,2,4,4,4,3,3,3,3,3,3,4,3,4,3,4,4,1,1,4,2,1,4,3,1,1,1,1,4,4,5,5,1,"                                                                                                                                                      ",6,"                                                                                                                                                      ",4,5,5,4,5,5,4,4,4,2,2,4,4,4,2,2,1,1,1,2,1,1,1,1,1,2,0,1,1,1,1,1,1,2,0,2,0,2,0,2,0,2,0,2,0,2,0,"                                                                                                    ",2,9,6,6,8,1,1,1,2,1,1,1,1,1,4595,599.385677826152,0.872396733222699
"4596",301124,3011,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,"                                                                                                                                                      ",8,"없다                                                                                                                                                  ",3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,0,1,1,2,0,2,0,1,1,1,1,2,0,"                                                                                                    ",1,4,1,1,10,1,1,1,2,1,1,1,1,1,4596,599.385677826152,0.872396733222699
"4597",301125,3011,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,4,4,1,1,1,1,1,1,1,1,1,4,"                                                                                                                                                      ",3,"                                                                                                                                                      ",4,4,4,4,4,5,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,0,2,0,1,1,1,1,1,3,1,3,2,0,"                                                                                                    ",9,4,1,1,8,1,1,1,2,1,1,1,1,1,4597,599.385677826152,0.872396733222699
"4598",302001,3020,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,"                                                                                                                                                      ",8,"인터넷상의 모르는 사람                                                                                                                                ",4,5,5,5,5,5,5,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,2,0,2,0,1,1,1,1,2,0,1,1,2,0,2,0,2,0,2,0,2,0,"                                                                                                    ",2,9,4,5,7,1,1,1,2,1,1,3,1,11,4598,981.256353769358,1.42820369113106
"4599",302002,3020,1,1,2,2,4,4,4,4,3,4,3,3,4,4,4,4,4,3,3,3,3,3,3,3,3,4,4,4,4,2,2,1,1,1,2,3,3,3,3,2,2,3,3,1,1,2,4,3,3,2,5,4,3,2,1,1,"                                                                                                                                                      ",6,"                                                                                                                                                      ",4,4,4,3,3,4,3,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,2,1,1,1,1,2,0,1,1,2,0,2,0,1,3,1,2,1,2,"사촌언니                                                                                            ",2,9,5,5,7,1,1,1,2,1,1,3,1,11,4599,981.256353769358,1.42820369113106
"4600",302003,3020,1,1,2,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,"                                                                                                                                                      ",5,"                                                                                                                                                      ",3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,2,0,2,0,2,0,2,0,2,0,1,1,"쌍둥이 동생                                                                                         ",2,9,1,1,6,1,1,1,2,1,1,3,1,11,4600,981.256353769358,1.42820369113106
"4601",302004,3020,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,1,"                                                                                                                                                      ",7,"                                                                                                                                                      ",5,5,5,5,5,5,5,4,3,3,2,4,4,4,4,2,1,1,1,1,1,1,1,1,1,1,1,2,0,1,1,1,1,2,0,2,0,1,1,2,0,2,0,1,1,2,0,"                                                                                                    ",2,9,1,1,6,1,1,1,2,1,1,3,1,11,4601,981.256353769358,1.42820369113106
"4602",302005,3020,1,1,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,3,3,3,2,3,3,3,2,2,2,3,4,4,4,3,3,2,3,4,2,5,5,2,2,3,4,5,1,"                                                                                                                                                      ",3,"                                                                                                                                                      ",3,9,4,4,5,5,4,2,2,2,2,2,2,4,3,1,1,4,3,3,4,3,3,3,3,1,1,1,2,1,1,1,1,1,2,2,0,2,0,2,0,1,4,1,2,2,0,"                                                                                                    ",2,9,6,6,9,1,1,1,2,1,1,3,1,11,4602,981.256353769358,1.42820369113106
"4603",302006,3020,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,"                                                                                                                                                      ",8,"인터넷상 모르는 사람                                                                                                                                  ",9,9,9,9,9,9,9,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,2,0,2,0,1,1,1,1,1,1,2,0,2,0,2,0,2,0,2,0,2,0,"                                                                                                    ",2,9,1,1,6,1,1,1,2,1,1,3,1,11,4603,981.256353769358,1.42820369113106
"4604",302007,3020,1,1,2,3,2,2,2,1,2,1,2,1,2,2,2,2,2,3,4,3,2,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,"                                                                                                                                                      ",8,"없다                                                                                                                                                  ",3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,1,1,1,1,1,1,1,1,2,0,1,1,2,0,2,0,2,0,2,0,2,0,"                                                                                                    ",9,3,1,1,6,1,1,1,2,1,1,3,1,11,4604,981.256353769358,1.42820369113106
"4605",302008,3020,1,1,2,5,3,4,4,4,3,3,4,4,3,3,3,3,3,4,4,4,3,2,2,3,3,1,1,1,4,1,4,1,1,1,3,1,4,3,3,4,1,1,1,5,4,5,4,4,2,3,4,4,4,5,5,1,"                                                                                                                                                      ",7,"                                                                                                                                                      ",3,4,5,4,4,5,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,1,1,1,1,1,1,1,1,2,0,2,0,2,0,2,0,2,0,2,0,"                                                                                                    ",2,9,1,1,8,1,1,1,2,1,1,3,1,11,4605,981.256353769358,1.42820369113106
"4606",302009,3020,1,1,2,1,2,3,2,3,1,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,"                                                                                                                                                      ",6,"                                                                                                                                                      ",4,4,4,4,4,4,4,1,1,1,3,2,1,1,1,1,1,4,2,2,4,4,2,1,2,2,0,2,0,1,1,1,1,2,0,2,0,2,0,1,1,2,0,2,0,2,0,"                                                                                                    ",2,9,1,1,8,1,1,1,2,1,1,3,1,11,4606,981.256353769358,1.42820369113106
"4607",302010,3020,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,4,3,3,3,4,3,3,3,3,4,3,3,4,9,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"                                                                                                                                                      ",8,"잘모르겠다                                                                                                                                            ",4,4,4,4,4,4,4,3,3,3,4,3,3,3,4,5,3,4,2,4,2,4,2,2,2,2,0,2,0,1,1,1,1,2,0,2,0,2,0,1,1,2,0,2,0,2,0,"                                                                                                    ",2,9,5,3,9,1,1,1,2,1,1,3,1,11,4607,981.256353769358,1.42820369113106
"4608",302011,3020,1,1,2,3,2,3,4,4,4,3,4,3,3,1,2,1,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,2,2,3,1,3,2,2,2,1,1,2,3,4,3,4,4,1,3,1,2,1,1,4,1,"                                                                                                                                                      ",3,"                                                                                                                                                      ",3,3,3,3,3,3,3,4,3,4,5,4,3,3,4,4,1,4,4,4,2,2,2,3,3,2,0,2,0,1,1,1,1,2,0,1,1,2,0,2,0,2,0,2,0,2,0,"                                                                                                    ",2,9,1,3,7,1,1,1,2,1,1,3,1,11,4608,981.256353769358,1.42820369113106
"4609",302012,3020,1,1,2,1,5,3,5,5,5,2,4,4,1,1,4,1,3,5,4,3,3,4,3,3,3,3,3,3,3,2,4,2,4,1,2,1,4,4,2,5,4,3,1,2,3,3,4,4,4,4,4,1,1,1,2,1,"                                                                                                                                                      ",7,"                                                                                                                                                      ",5,3,4,5,4,4,5,3,3,3,5,3,3,4,4,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,2,0,2,0,1,1,1,8,2,0,"                                                                                                    ",2,9,1,1,6,1,1,1,2,1,1,3,1,11,4609,981.256353769358,1.42820369113106
"4610",302013,3020,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"                                                                                                                                                      ",6,"                                                                                                                                                      ",5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,0,2,0,1,1,1,1,2,0,2,0,2,0,1,1,2,0,2,0,2,0,"                                                                                                    ",2,9,1,1,7,1,1,1,2,1,1,3,1,11,4610,981.256353769358,1.42820369113106
"4611",302014,3020,1,1,2,1,2,1,1,1,1,1,3,3,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,"                                                                                                                                                      ",8,"없음                                                                                                                                                  ",3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,2,0,1,1,1,1,2,0,1,1,1,1,2,0,2,0,2,0,2,0,"                                                                                                    ",2,9,1,1,9,1,1,1,2,1,1,3,1,11,4611,981.256353769358,1.42820369113106
"4612",302015,3020,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,4,1,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,"                                                                                                                                                      ",8,"없음                                                                                                                                                  ",5,5,5,5,5,5,5,1,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,2,0,1,1,2,0,2,0,1,1,1,2,2,0,"                                                                                                    ",2,9,1,1,10,1,1,1,2,1,1,3,1,11,4612,981.256353769358,1.42820369113106
"4613",302016,3020,1,1,1,3,1,1,3,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"                                                                                                                                                      ",8,"없음                                                                                                                                                  ",5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2,1,1,1,1,2,0,2,0,1,1,2,0,2,0,1,4,2,0,"                                                                                                    ",2,9,5,5,8,1,1,1,1,1,1,3,1,11,4613,1212.50287354132,1.76477948178032
"4614",302017,3020,1,1,1,1,1,1,4,1,4,1,1,2,1,1,1,1,4,4,1,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,5,"없음                                                                                                                                                  ",8,"없음                                                                                                                                                  ",4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,0,2,0,1,1,1,1,1,2,2,0,2,0,2,0,2,0,1,4,2,0,"                                                                                                    ",2,9,1,1,6,1,1,1,1,1,1,3,1,11,4614,1212.50287354132,1.76477948178032
"4615",302018,3020,1,1,1,3,9,1,2,1,2,1,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"                                                                                                                                                      ",4,"                                                                                                                                                      ",4,4,4,4,4,4,4,1,1,1,1,1,1,1,5,5,1,3,3,3,3,3,3,3,3,1,2,1,2,1,1,1,1,1,1,1,1,2,0,2,0,1,1,1,1,2,0,"                                                                                                    ",2,9,6,6,6,1,1,1,1,1,1,3,1,11,4615,1212.50287354132,1.76477948178032
"4616",302019,3020,1,1,1,1,4,5,2,1,3,3,3,4,2,2,2,1,3,4,2,4,4,4,3,4,4,3,3,4,2,2,3,3,3,3,3,3,2,1,1,5,3,1,4,2,4,2,1,1,1,1,1,1,1,1,2,1,"                                                                                                                                                      ",6,"                                                                                                                                                      ",3,5,4,3,4,4,4,3,3,3,3,3,3,3,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,"                                                                                                    ",2,9,4,1,10,1,1,1,1,1,1,3,1,11,4616,1212.50287354132,1.76477948178032
"4617",302020,3020,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,1,1,1,3,1,1,1,2,1,1,3,1,4,1,"                                                                                                                                                      ",6,"                                                                                                                                                      ",3,3,3,3,3,3,3,1,1,1,1,1,1,1,5,5,1,3,3,3,3,3,3,3,3,2,0,2,0,2,0,1,1,2,0,2,0,2,0,2,0,2,0,2,0,2,0,"                                                                                                    ",2,9,1,1,7,1,1,1,1,1,1,3,1,11,4617,1212.50287354132,1.76477948178032
"4618",302021,3020,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"                                                                                                                                                      ",6,"                                                                                                                                                      ",4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,1,1,1,1,2,0,2,0,2,0,1,2,2,0,2,0,"                                                                                                    ",9,9,1,1,8,1,1,1,1,1,1,3,1,11,4618,1212.50287354132,1.76477948178032
"4619",302022,3020,1,1,1,5,4,2,3,1,3,1,3,3,1,1,2,1,4,4,3,3,5,4,4,2,2,2,2,3,3,1,3,2,2,3,2,1,3,3,3,3,1,1,3,1,1,2,1,3,3,1,4,5,1,2,2,1,"                                                                                                                                                      ",3,"                                                                                                                                                      ",2,3,3,3,3,4,4,2,2,1,2,2,3,3,3,4,3,4,1,4,4,3,3,1,1,2,0,2,0,2,0,1,1,2,0,2,0,1,2,2,0,2,0,2,0,2,0,"                                                                                                    ",2,9,1,1,9,1,1,1,1,1,1,3,1,11,4619,1212.50287354132,1.76477948178032
"4620",302023,3020,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,"                                                                                                                                                      ",8,"                                                                                                                                                      ",4,4,4,9,9,9,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,2,0,1,1,2,0,2,0,1,2,2,0,2,0,"                                                                                                    ",2,9,1,1,8,1,1,1,1,1,1,3,1,11,4620,1212.50287354132,1.76477948178032
"4621",302024,3020,1,1,1,4,1,1,1,1,2,1,3,1,1,1,1,1,2,2,1,4,3,3,3,1,1,1,1,1,1,1,1,1,2,4,3,1,2,2,2,4,1,1,1,1,4,1,1,2,1,1,1,1,1,1,3,4,"                                                                                                                                                      ",3,"                                                                                                                                                      ",5,5,5,5,5,5,5,4,4,4,3,4,1,4,1,1,4,2,2,2,2,2,2,2,2,2,0,1,1,1,1,1,1,1,1,2,0,2,0,2,0,2,0,2,0,2,0,"                                                                                                    ",2,9,1,1,9,1,1,1,1,1,1,3,1,11,4621,1212.50287354132,1.76477948178032
