,x_l,x_m,x_r,w_l,w_m,w_r,xw_l,xw_m,xw_r,m_l,m_m,m_r,y_l,y_m,y_r
0,0.2831083844580777,0.3120518064076346,0.3409952283571915,1,2,3,0.2831083844580777,0.6241036128152692,1.0229856850715744,0.7523395659742986,0.7787691530784462,0.8051987401825937,0.0588235294117647,0.0588235294117647,0.0588235294117647
1,0.36134969325153365,0.3699386503067484,0.3785276073619631,2,3,4,0.7226993865030673,1.1098159509202452,1.5141104294478525,0.7177769804249889,0.7259099788701511,0.7340429773153132,0.0588235294117647,0.0588235294117647,0.0588235294117647
2,0.3506401707121899,0.352760736196319,0.35488130168044807,4,5,6,1.4025606828487596,1.763803680981595,2.1292878100826886,0.6889093427212956,0.7096439819798268,0.7303786212383581,0.0588235294117647,0.0588235294117647,0.0588235294117647
3,0.3484929314483862,0.3485196052280608,0.3485462790077354,2,3,4,0.6969858628967724,1.0455588156841824,1.3941851160309415,0.7432957364159685,0.7511132604968893,0.7589307845778102,0.0294117647058823,0.0294117647058823,0.0294117647058823
4,0.3405221695482431,0.3484662576687116,0.35641034578918007,5,6,7,1.7026108477412154,2.0907975460122694,2.4948724205242607,0.7270570795866812,0.7354782123350476,0.743899345083414,0.0294117647058823,0.0294117647058823,0.0294117647058823
5,0.3168684544834851,0.3325780814277746,0.34828770837206413,5,6,7,1.5843422724174254,1.9954684885666478,2.438013958604449,0.6832650952373474,0.7523204778317805,0.8213758604262136,0.1470588235294117,0.1470588235294117,0.1470588235294117
6,0.285480572597137,0.3011588275391956,0.3168370824812542,3,4,5,0.856441717791411,1.2046353101567824,1.584185412406271,0.5494292282953923,0.6142097126429142,0.6789901969904362,0.0588235294117647,0.0588235294117647,0.0588235294117647
7,0.3322297440236936,0.3325153374233128,0.332800930822932,2,3,4,0.6644594880473872,0.9975460122699384,1.331203723291728,0.7302211829141045,0.7437706813379581,0.7573201797618117,0.0588235294117647,0.0588235294117647,0.0588235294117647
8,0.32850645229532466,0.3330865242225512,0.33766659614977773,5,6,7,1.6425322614766233,1.9985191453353073,2.3636661730484443,0.6937024251897493,0.716671684490251,0.7396409437907526,0.088235294117647,0.088235294117647,0.088235294117647
9,0.2957340052585451,0.3239263803680981,0.35211875547765115,4,5,6,1.1829360210341804,1.6196319018404906,2.112712532865907,0.639218366451951,0.6707331658892477,0.7022479653265444,0.0588235294117647,0.0588235294117647,0.0588235294117647
10,0.2582828061509042,0.267541630148992,0.2768004541470798,5,6,7,1.291414030754521,1.605249780893952,1.9376031790295587,0.6806107101047897,0.7337627647638412,0.7869148194228927,0.0294117647058823,0.0294117647058823,0.0294117647058823
11,0.2020443700811798,0.2490239821528164,0.296003594224453,4,5,6,0.8081774803247193,1.245119910764082,1.776021565346718,0.6249981374966423,0.6274586554457382,0.629919173394834,0.1176470588235294,0.1176470588235294,0.1176470588235294
12,0.10421949556918875,0.1550647580095432,0.20591002044989765,3,4,5,0.31265848670756624,0.6202590320381728,1.0295501022494882,0.6103204029289424,0.6225376195475465,0.6347548361661506,0.1470588235294117,0.1470588235294117,0.1470588235294117
13,0.0,0.0533742331288343,0.1122071946458449,1,2,3,0.0,0.1067484662576686,0.3366215839375347,0.6123451957682313,0.6469720527847547,0.681598909801278,0.1470588235294117,0.1470588235294117,0.1470588235294117
14,0.13145116812294722,0.1710401561628555,0.2106291442027638,5,6,7,0.6572558406147361,1.026240936977133,1.4744040094193465,0.4845214896644152,0.577718338751708,0.6709151878390007,0.088235294117647,0.088235294117647,0.088235294117647
15,0.15275188989223593,0.2502181322426721,0.34768437459310825,6,7,8,0.9165113393534156,1.7515269256987045,2.781474996744866,0.6886462288522952,0.7641120369262935,0.8395778450002918,0.0294117647058823,0.0294117647058823,0.0294117647058823
16,0.4208115047907906,0.4451506169435444,0.4694897290962982,3,4,5,1.2624345143723719,1.7806024677741776,2.347448645481491,0.6115752358621539,0.6131804207782969,0.61478560569444,0.1176470588235294,0.1176470588235294,0.1176470588235294
17,0.38822808687680704,0.3964723926380368,0.40471669839926655,2,3,4,0.7764561737536141,1.1894171779141103,1.6188667935970662,0.5607544707058462,0.6099700509460109,0.6591856311861756,0.0588235294117647,0.0588235294117647,0.0588235294117647
18,0.38237007263239536,0.4129610041604963,0.44355193568859724,2,3,4,0.7647401452647907,1.238883012481489,1.774207742754389,0.6802930897771886,0.7084012114263403,0.7365093330754919,0.0294117647058823,0.0294117647058823,0.0294117647058823
19,0.33482179374817406,0.3517791411042944,0.3687364884604148,5,6,7,1.6741089687408703,2.1106748466257663,2.5811554192229034,0.614661799017737,0.652184968128037,0.6897081372383369,0.088235294117647,0.088235294117647,0.088235294117647
20,0.268374423655832,0.3178644463920537,0.3673544691282754,5,6,7,1.3418721182791598,1.9071866783523221,2.5714812838979277,0.7169197023645473,0.7272313063486369,0.7375429103327265,0.0588235294117647,0.0588235294117647,0.0588235294117647
21,0.41281140172177777,0.4168444918644971,0.4208775820072165,2,3,4,0.8256228034435555,1.2505334755934914,1.683510328028866,0.6466131487894019,0.747854514316816,0.8490958798442302,0.0294117647058823,0.0294117647058823,0.0294117647058823
22,0.41153509067619487,0.4249106721499358,0.4382862536236767,4,5,6,1.6461403627047795,2.1245533607496787,2.62971752174206,0.5300538475995957,0.5453717832619878,0.5606897189243798,0.1764705882352941,0.1764705882352941,0.1764705882352941
23,0.34676791859943135,0.3981595092024539,0.4495510998054765,5,6,7,1.7338395929971568,2.3889570552147235,3.1468576986383354,0.503973636794136,0.5760076545867718,0.6480416723794077,0.0588235294117647,0.0588235294117647,0.0588235294117647
