"","nsp","hom","cm","my"
"191",4.77777777777778,2.36363636363636,5,4.9
"193",4,2.45454545454545,5,3.6
"194",5,3.63636363636364,4.57142857142857,2.9
"195",2.44444444444444,2.72727272727273,3.71428571428571,4
"196",4,3.90909090909091,5,2.6
"197",4.11111111111111,3.27272727272727,5,3.7
"198",2.88888888888889,3.27272727272727,4,1.8
"199",2.22222222222222,2.09090909090909,3.71428571428571,3.1
"200",4.55555555555556,2.45454545454545,4.28571428571429,3.3
"201",4,2.54545454545455,3.28571428571429,2.2
"202",5,1,5,4.2
"204",5,2.90909090909091,4.71428571428571,2.9
"205",4,2.72727272727273,3.28571428571429,3.6
"206",2,1,5,3
"207",4,3.45454545454545,4.14285714285714,3.6
"208",3.88888888888889,2.54545454545455,5,1.9
"209",2.66666666666667,3.54545454545455,4,2.3
"210",3,3,3.57142857142857,3
"211",2.77777777777778,2.90909090909091,3.71428571428571,3.1
"212",5,4.09090909090909,5,2.2
"213",3.88888888888889,4.63636363636364,4,4.2
"214",4,2.72727272727273,5,1.8
"215",2,1.54545454545455,4,4
"216",3.22222222222222,3,4,1.6
"217",2,1.54545454545455,4,3.5
"218",3.55555555555556,1.27272727272727,4.14285714285714,3.2
"219",4,2.63636363636364,5,3
"221",3.11111111111111,1,4.42857142857143,2.6
"222",5,4.09090909090909,5,4.5
"223",3.77777777777778,3.36363636363636,4.28571428571429,3
"224",4,3.54545454545455,5,3.6
"225",2.11111111111111,1.27272727272727,3.71428571428571,2.2
"226",2.11111111111111,1,4.14285714285714,4
"228",5,1.54545454545455,5,2.3
"229",4,2.45454545454545,4.42857142857143,1.9
"230",3.33333333333333,1.54545454545455,3.28571428571429,3.5
"231",2.88888888888889,3.36363636363636,3.85714285714286,3
"232",3.77777777777778,3,3.71428571428571,3.4
"233",5,3.54545454545455,5,1.8
"234",3.44444444444444,2.36363636363636,3.42857142857143,2.7
"235",4,2.63636363636364,4,3.6
"236",3.11111111111111,3.18181818181818,3.85714285714286,2.6
"237",5,3.63636363636364,3,2.4
"238",3.77777777777778,2.72727272727273,4,2.4
"239",2,2,4,1.3
"240",4.44444444444444,2.18181818181818,3.42857142857143,1.9
"241",4,3,2,2.4
"242",3.88888888888889,2.27272727272727,3.85714285714286,1.6
"243",4,2,1,1.8
"244",4,3,4,3
"245",3,3,3,3
"246",3,2,1,1.2
"247",3,3,3,3
"248",5,1,1,1.8
"249",4.88888888888889,3.18181818181818,3.85714285714286,3.6
"250",2.88888888888889,1,2,2.4
"251",4.44444444444444,2.90909090909091,4.28571428571429,3.8
"252",2.33333333333333,2,4,3.6
"253",3.66666666666667,2.09090909090909,3.57142857142857,2.9
"254",2.22222222222222,1.81818181818182,2.14285714285714,1.8
"255",3.55555555555556,3.63636363636364,3.14285714285714,3.2
"256",4,3,4,3.4
"257",4,4.27272727272727,4.28571428571429,3.4
"258",1,1,4,1.8
"259",4,4.09090909090909,4.71428571428571,5
"260",2.77777777777778,2.45454545454545,3.57142857142857,3.8
"261",3.44444444444444,2.09090909090909,4.14285714285714,2.9
"262",4,3.27272727272727,4,3.1
"263",2,1.90909090909091,5,1.6
"264",3.22222222222222,1.90909090909091,3.42857142857143,1.8
"265",4,4,4,3.8
"266",4,3,4,1.2
"267",3.11111111111111,2.81818181818182,4.14285714285714,3.1
"268",3.11111111111111,2.36363636363636,4.14285714285714,3.2
"269",3.33333333333333,2.54545454545455,4,2.9
"270",4,4.09090909090909,4,3.5
"271",3.44444444444444,3.18181818181818,4,2.9
"272",1.77777777777778,1.63636363636364,5,3.3
"273",4.88888888888889,4.09090909090909,5,3.6
"274",3.88888888888889,2.27272727272727,4,3.6
"275",3.44444444444444,3.45454545454545,4.14285714285714,3.9
"276",4,3.54545454545455,4.14285714285714,3
"277",2.11111111111111,3,4,1.5
"278",2.44444444444444,3,4,1.9
"279",3,3.81818181818182,4,3.8
"280",3.55555555555556,2.90909090909091,5,1.6
"281",2.33333333333333,2.81818181818182,4,3.4
"282",2.66666666666667,1.72727272727273,5,2.8
"283",1.77777777777778,1.36363636363636,4.57142857142857,3.2
"284",2.88888888888889,2.45454545454545,4,3.6
"285",3,2.81818181818182,4.42857142857143,2.3
"286",3.88888888888889,2.45454545454545,3.85714285714286,3.7
"287",3.44444444444444,1.63636363636364,4.71428571428571,3
"288",3.33333333333333,1.72727272727273,3,2.7
"289",4.88888888888889,3.81818181818182,4,2.3
"290",5,3.36363636363636,5,1.4
"291",1.66666666666667,3.18181818181818,3.71428571428571,3
"292",4,2.54545454545455,4.14285714285714,3.1
"293",3.44444444444444,4.27272727272727,4.14285714285714,2
"294",1.44444444444444,3.27272727272727,5,1.6
"295",3,2.81818181818182,1,1.8
"296",3.77777777777778,1.45454545454545,4,4.4
"297",1,1.63636363636364,3.85714285714286,3.3
"298",2,1.81818181818182,3,1.8
"299",3.77777777777778,3.45454545454545,2,3
"300",1.55555555555556,1.45454545454545,1.42857142857143,1.8
"301",3.11111111111111,1.63636363636364,1,1.8
"302",2.66666666666667,4.45454545454545,4.42857142857143,1.8
"303",3,3.27272727272727,4.14285714285714,1.8
"304",4,2,3,1.8
"305",3.77777777777778,3.81818181818182,4,3
"306",3,1,5,2.4
"307",2.55555555555556,2,3,2.4
"308",2,3,4,3.6
"309",2.77777777777778,2,3,2.4
"310",3,2.72727272727273,3.14285714285714,2.3
"311",3,3,4,2.4
"312",4.66666666666667,3.81818181818182,5,3
"313",2.33333333333333,1.81818181818182,4,3.3
"314",4,4.18181818181818,5,2.8
"315",3.77777777777778,2.72727272727273,5,3
"316",4,1,5,1.5
"318",3.88888888888889,2.90909090909091,4.42857142857143,3
"319",4,2.63636363636364,3,3
"320",4,1.90909090909091,3,3.6
"321",4,1.27272727272727,5,3.1
"322",2.77777777777778,2.72727272727273,1,1.8
"323",3.11111111111111,2.54545454545455,3.42857142857143,3.5
"324",1,1,3,3
"325",1.33333333333333,1,4.85714285714286,1.8
"326",3.88888888888889,2.72727272727273,3.57142857142857,1.8
"327",3.55555555555556,3.18181818181818,3,1.8
"328",3,2.27272727272727,3,1.8
"329",3.22222222222222,2.27272727272727,1.57142857142857,2.2
"330",3,2.81818181818182,4,2.8
"331",3.55555555555556,2.18181818181818,2.85714285714286,1.9
"332",3,3,4.85714285714286,2.8
"333",3.11111111111111,3.54545454545455,4,2.4
"334",3,1,1,1.8
"335",4,2.27272727272727,4,2.3
"337",3.88888888888889,3.09090909090909,4,2.7
"338",3,3,3,3
"339",3,3,3,3
"340",3,3,1,1.8
"341",3.11111111111111,3.18181818181818,3,1.8
"342",2.11111111111111,2.54545454545455,1,1.8
"343",3,3.18181818181818,1.85714285714286,1.8
"344",1,1,1,1.8
"345",4.77777777777778,2.90909090909091,3,3.1
"346",5,3.36363636363636,5,2.5
"347",3.66666666666667,3.09090909090909,5,2.5
"348",2.66666666666667,2.09090909090909,3,2.3
"349",3,3.09090909090909,5,3
"350",4.66666666666667,1.72727272727273,5,2.3
"351",3.66666666666667,3.90909090909091,4.14285714285714,3
"352",4,2.72727272727273,4.14285714285714,2.6
"353",4.11111111111111,2.63636363636364,3.14285714285714,3
"354",3.88888888888889,2.36363636363636,5,2.1
"355",5,3,5,3
"356",3.66666666666667,2.81818181818182,5,1.8
"357",3.88888888888889,2.09090909090909,3.42857142857143,3
"359",1,1.36363636363636,4.85714285714286,1.2
"360",2.88888888888889,3.36363636363636,4,1
"361",4,1.81818181818182,4.57142857142857,3
"362",3,3.18181818181818,3,2.4
"363",3.55555555555556,3,5,3
"364",3.33333333333333,2.18181818181818,3,1.2
"365",2.33333333333333,3.36363636363636,5,3.8
"367",2.33333333333333,3.09090909090909,3.28571428571429,3
"368",2,1.63636363636364,5,2
"369",3.22222222222222,3.54545454545455,2.57142857142857,3.9
"370",4,1.09090909090909,3,3
"371",4,3.36363636363636,1,1.8
"372",2.33333333333333,2.45454545454545,3.71428571428571,2.8
"373",4,2.81818181818182,4,3.6
"374",4.44444444444444,3.45454545454545,5,3.3
"375",3,3,4,3
"376",3.44444444444444,3.27272727272727,4.85714285714286,3.6
"377",3.22222222222222,1.63636363636364,5,3.3
"378",4,3.90909090909091,4.42857142857143,3.2
"379",5,3.27272727272727,5,3.9
"380",3,1,3,1.8
"381",4.44444444444444,3.09090909090909,4.28571428571429,2.2
"382",3.88888888888889,2.90909090909091,4.42857142857143,3.1
"383",4.88888888888889,3.72727272727273,4,2.5
"384",3.44444444444444,2.63636363636364,5,2.7
"385",4,2.63636363636364,5,3.8
"386",5,4.54545454545455,5,4.6
"387",3.88888888888889,3.54545454545455,3.85714285714286,1.8
"388",3.22222222222222,1,5,3
"389",2.11111111111111,4,4,2.9
"390",4,3.18181818181818,3,2.2
"391",4.11111111111111,1.45454545454545,4.14285714285714,3.5
"392",1.44444444444444,1.27272727272727,4,2.2
"394",5,4.36363636363636,5,4
"395",3.22222222222222,1.09090909090909,4.28571428571429,3.2
"396",5,1,5,3
"397",5,3.63636363636364,5,3
"398",2.66666666666667,3.09090909090909,4.28571428571429,3.5
"399",2,1,4,3.6
"400",3.77777777777778,3,3.85714285714286,3.3
"401",4.22222222222222,3.81818181818182,4,3.2
"402",4.11111111111111,3.36363636363636,4.14285714285714,2.9
"403",3.33333333333333,3.63636363636364,4.28571428571429,4.1
"404",5,1,5,3
"405",2.44444444444444,2.36363636363636,3.71428571428571,3.1
"406",3.55555555555556,2.63636363636364,3.71428571428571,2.1
"407",4.11111111111111,3.27272727272727,3.71428571428571,3.1
"408",4,3.36363636363636,4,3.6
"409",5,1.18181818181818,5,1.8
"410",4,3,4,3.2
"411",3,2,3,3
"412",2.33333333333333,2.27272727272727,3.71428571428571,1.7
"414",3,2.18181818181818,3.14285714285714,1.8
"415",4,1.63636363636364,3.85714285714286,3.1
"416",3.33333333333333,2.90909090909091,2.85714285714286,3.5
"417",3,3,3,2.2
"418",2,2,3,3
"419",3,3,3,3
"420",3,3,4,2.4
"421",4.88888888888889,3.81818181818182,5,1.8
"422",3,3,3,3
"423",5,3,5,1.8
"424",3.44444444444444,2.90909090909091,3.71428571428571,3
"425",3,1.72727272727273,5,3
"426",3.44444444444444,3.63636363636364,3,3
"427",4,3.54545454545455,3,3
"428",4,4,4,3
"429",3.11111111111111,3,4,2.4
"430",4,2.45454545454545,5,3
"431",2,1.09090909090909,2,1.8
"432",3.44444444444444,3,3.85714285714286,3.5
"433",4,3.45454545454545,3.71428571428571,1.8
"434",4,3.18181818181818,3,3
"435",4.22222222222222,3.63636363636364,4,1.8
"436",4,2.36363636363636,3.14285714285714,2.8
"437",4,3.54545454545455,5,3.4
"438",3.77777777777778,2.90909090909091,5,3.5
"439",2,1,4,3.6
"440",4.88888888888889,3.45454545454545,5,3.8
"441",4.11111111111111,2.54545454545455,5,3
"442",4.66666666666667,2.81818181818182,4.28571428571429,3.9
"443",5,3.45454545454545,4,3.6
"444",3,3,4,3
"445",2.22222222222222,2.54545454545455,4.28571428571429,3.2
"446",3,3.09090909090909,4,3
"447",5,4.18181818181818,5,4.2
"448",3.44444444444444,1.63636363636364,4,3.6
"449",3.77777777777778,3.09090909090909,4.85714285714286,2.9
"450",2.66666666666667,1.81818181818182,3,2
"451",3.66666666666667,2.54545454545455,4.42857142857143,3
"452",5,1.81818181818182,4.71428571428571,2.4
"453",3.77777777777778,2.72727272727273,4.71428571428571,3.8
"455",3.44444444444444,2.18181818181818,3.14285714285714,2.4
"456",3.11111111111111,3.63636363636364,4.14285714285714,3.6
"457",3.33333333333333,2.09090909090909,3.42857142857143,2.8
"458",3,2,4.28571428571429,1.8
"459",3.22222222222222,2.18181818181818,3,3
"460",2.22222222222222,3.09090909090909,5,1.8
"461",3,3.36363636363636,4,3.6
"462",4,3.09090909090909,4.28571428571429,3.3
"463",3.77777777777778,2.54545454545455,3.42857142857143,3.1
"464",4,3.36363636363636,4.28571428571429,2.8
"466",3,2,3.42857142857143,3
"467",4.11111111111111,3.36363636363636,4.14285714285714,2.8
"468",4.66666666666667,2.09090909090909,4.28571428571429,2.6
"469",2.88888888888889,1.90909090909091,3.85714285714286,3.9
"470",5,5,5,2.4
"471",1,2,3.71428571428571,1.8
"472",4,2.72727272727273,4,1.8
"473",3.33333333333333,1.90909090909091,4.42857142857143,3
"474",1.44444444444444,2.09090909090909,3,1.8
"475",5,3.45454545454545,3.85714285714286,3.4
"476",3.44444444444444,2.18181818181818,4,2.5
"477",2.11111111111111,2.18181818181818,4.14285714285714,2.3
"478",2.77777777777778,2.63636363636364,3.85714285714286,3
"479",3.77777777777778,1.27272727272727,3.85714285714286,2.3
"480",3.44444444444444,2.81818181818182,4,3.1
"483",4,3.27272727272727,4,3.8
"484",2.77777777777778,2.81818181818182,3.28571428571429,1.8
"485",2.55555555555556,2.54545454545455,4.28571428571429,3.1
"486",5,3.72727272727273,4,1.8
"487",4.22222222222222,3.36363636363636,4.42857142857143,3
"488",3,2.09090909090909,2,3.3
"489",2,2.09090909090909,4,3
"490",2.88888888888889,2.36363636363636,3.42857142857143,3.6
"491",2.44444444444444,2.09090909090909,4,3
"492",3,1.18181818181818,3.71428571428571,1.8
"493",3,2.72727272727273,4,2.4
"494",2,2.09090909090909,4,1.8
"495",4.22222222222222,3.27272727272727,3.85714285714286,2.2
"496",3.33333333333333,3.09090909090909,5,2.4
"497",3.33333333333333,3.45454545454545,4,2.1
"498",3.44444444444444,3.09090909090909,4,1.8
"499",4.44444444444444,3.63636363636364,4.42857142857143,2.5
"500",4.33333333333333,2.27272727272727,4.14285714285714,2
"501",1,1.63636363636364,3,4.4
"502",4.66666666666667,3.45454545454545,5,3.2
"503",2.44444444444444,1.45454545454545,4.14285714285714,2
"504",4.11111111111111,4.18181818181818,4,3.6
"505",3.55555555555556,3.36363636363636,4.28571428571429,2.7
"506",2.66666666666667,1.45454545454545,5,3.1
"507",3.44444444444444,2.36363636363636,4.42857142857143,2.8
"508",4,3.81818181818182,4,3.8
"509",3.66666666666667,2,4.28571428571429,2.5
"510",4.77777777777778,3.09090909090909,4.85714285714286,4.3
"511",3.33333333333333,3.18181818181818,4,4.2
"512",1,1,5,3
"513",2.66666666666667,3.09090909090909,3,2.8
"514",3,2,4,3
"515",4,2.27272727272727,4,1.8
"516",3,3,3.28571428571429,3
"517",4,4,4,2.4
"518",4,2.90909090909091,3,2.4
"519",3.33333333333333,4.09090909090909,3.85714285714286,2.6
"520",3.44444444444444,3.09090909090909,2.85714285714286,3
"521",2.33333333333333,2.27272727272727,2.71428571428571,2.6
"522",4,3,4,2.4
"523",1,1,4,1.8
"524",1,1,4,3
"525",2,2.18181818181818,4,3
"526",1.11111111111111,2.54545454545455,2,3
"527",2.11111111111111,2,2,2.4
"528",2,2,1,1.8
"529",3,3,3,1.8
"530",3.77777777777778,1.72727272727273,2.71428571428571,2.6
"531",2.88888888888889,2.09090909090909,3.71428571428571,3.2
"532",4,3.18181818181818,5,3.6
"533",3,2.18181818181818,3.42857142857143,4
"534",3.33333333333333,2.90909090909091,4.42857142857143,1.8
"536",2.88888888888889,2.18181818181818,4,3.7
"537",3.77777777777778,1,5,3.2
"538",3.77777777777778,3.36363636363636,4,3
"539",4,2.72727272727273,3,3.2
"540",2.55555555555556,2.27272727272727,4,2.9
"541",2.55555555555556,1.45454545454545,4,1.8
"542",2.44444444444444,1,3,1.6
"543",2.55555555555556,3.54545454545455,3,1.9
"544",5,3.18181818181818,3.71428571428571,3.1
"545",3,2.36363636363636,3.71428571428571,3
"546",3.22222222222222,2.45454545454545,3.85714285714286,2.7
"547",2.88888888888889,3,4,2.8
"548",3.22222222222222,2,3,1.4
"549",1,1.18181818181818,3,2.9
"550",4,4.45454545454545,4,1.8
"551",4,1.36363636363636,5,2.1
"552",3.77777777777778,3,2,4
"553",4,3.09090909090909,3,2.4
"555",2,3,3.14285714285714,3
"556",3.11111111111111,2,4,1.8
"557",3.44444444444444,2.63636363636364,4,3.4
"558",4.55555555555556,3.18181818181818,5,3.8
"559",4,1.18181818181818,4,3.3
"560",3,3,5,3.7
"561",3.11111111111111,1,4.14285714285714,3.5
"562",3,3.09090909090909,3,3
"563",1.66666666666667,1,5,1.8
"564",3.77777777777778,3.09090909090909,5,1.8
"565",3,3.27272727272727,4,3
"566",5,3.27272727272727,5,3.5
"567",3.55555555555556,2.90909090909091,4.42857142857143,2.7
"568",3,2.54545454545455,4,3
"569",3,2.90909090909091,5,3
"570",1.44444444444444,2,3.85714285714286,2.9
"571",2.55555555555556,2.54545454545455,4,2.9
"572",3.33333333333333,1.72727272727273,5,2.6
"573",3.88888888888889,2.18181818181818,4,2.4
"574",4.11111111111111,2.18181818181818,4.42857142857143,2.4
"575",3.66666666666667,3,5,3
"576",2.88888888888889,1.63636363636364,3.57142857142857,3
"577",2.33333333333333,2,2.28571428571429,2.9
"578",5,3.54545454545455,4.14285714285714,1.8
"579",3,1,5,3.2
"580",3.44444444444444,4,4,3.5
"581",3.22222222222222,2.72727272727273,2.28571428571429,2.4
"582",3.55555555555556,3.45454545454545,4,3.5
"583",1.44444444444444,2.09090909090909,4,2.4
"584",2.88888888888889,1.90909090909091,3.85714285714286,3.5
"585",3.33333333333333,2.54545454545455,3.14285714285714,2.8
"586",3.55555555555556,2.72727272727273,3.85714285714286,3.1
"587",4,2.27272727272727,4,3
"588",3.77777777777778,3.18181818181818,2,3
"589",3,3,4,3.1
"590",3,3.72727272727273,4.28571428571429,3.8
"591",3.88888888888889,2.54545454545455,4.85714285714286,3.8
"592",3.66666666666667,3.27272727272727,4,2
"593",4.88888888888889,4.36363636363636,5,4.4
"594",4,2.18181818181818,4.42857142857143,3.2
"595",3,2.09090909090909,4.71428571428571,2.8
"596",4.44444444444444,4.09090909090909,5,2.7
"597",4,2.18181818181818,3.85714285714286,2.6
"598",2,2.09090909090909,4.42857142857143,2.4
"599",4.77777777777778,3.36363636363636,3,2
"600",3.66666666666667,1.81818181818182,3.71428571428571,2.8
"601",1,3,4,3.1
"602",4.44444444444444,3.54545454545455,5,3
"603",2.11111111111111,3.27272727272727,4,3.1
"604",3.44444444444444,3.36363636363636,4,1.6
"605",1,1.81818181818182,3.14285714285714,1.8
"606",3.33333333333333,2.27272727272727,3.71428571428571,2.9
"607",4.22222222222222,2.18181818181818,3.71428571428571,2.4
"608",2.66666666666667,1.27272727272727,4.28571428571429,3.4
"609",3.44444444444444,2.45454545454545,5,3
"610",4,3.54545454545455,5,1.8
"611",3,2,4,2.4
"612",3.11111111111111,2.90909090909091,5,1.8
"613",1.11111111111111,1.63636363636364,4,2.3
"614",4,3.27272727272727,4.42857142857143,4.1
"615",3.88888888888889,3.90909090909091,4.28571428571429,3.3
"616",2.22222222222222,2.63636363636364,4.14285714285714,3.1
"617",3.66666666666667,3,4.85714285714286,4
"618",2,2,3,2
"619",1,1,2,1.8
"621",4.55555555555556,3.18181818181818,4.28571428571429,3
"622",4,2.81818181818182,3,2.4
"623",3,1.27272727272727,4,2.4
"624",1,1,4,1.8
"625",4,2.18181818181818,5,3.9
"626",3,2.54545454545455,3,2.4
"627",2.77777777777778,2.27272727272727,3,2.3
"628",3,2.09090909090909,4,1.8
"629",3,3,3,3
"631",3,3,3,3
"632",3.88888888888889,5,4.42857142857143,1.3
"633",3,3,3.57142857142857,2.4
"634",3.44444444444444,1.36363636363636,1.28571428571429,1.4
"635",3,3,4.28571428571429,3
"636",3.11111111111111,1,4.14285714285714,3
